Individual_ID,Beh2,Type,Proba
CA52,Burrow,Prey,0.484
CA52,Burrow,Prey,0.516
CA52,Burrow,Prey,0.636
CA52,Burrow,Prey,0.742
CA52,Burrow,Prey,0.8
CA52,Burrow,Prey,0.554
CA52,Burrow,Prey,0.67
CA52,Burrow,Prey,0.46
CA52,Burrow,Prey,0.438
CA52,Burrow,Prey,0.574
CA52,Burrow,Prey,0.54
CA52,Burrow,Prey,0.554
CA52,Burrow,Prey,0.642
CA52,Burrow,Prey,0.4
CA52,Burrow,Prey,0.51
CA52,Burrow,Prey,0.362
CA52,Burrow,Prey,0.312
CA52,Burrow,Prey,0.636
CA52,Burrow,Prey,0.308
CA52,Burrow,Prey,0.688
CA52,Burrow,Prey,0.586
CA52,Burrow,Prey,0.55
CA52,Burrow,Prey,0.266
CA52,Burrow,Prey,0.408
CA53,Burrow,Prey,0.4
CA53,Burrow,Prey,0.4
CA53,Burrow,Prey,0.512
CA53,Burrow,Prey,0.26
CA53,Burrow,Prey,0.558
CA53,Burrow,Prey,0.566
CA53,Burrow,Prey,0.554
CA53,Burrow,Prey,0.438
CA53,Burrow,Prey,0.766
CA53,Burrow,Prey,0.59
CA53,Burrow,Prey,0.626
CA53,Burrow,Prey,0.626
CA53,Burrow,Prey,0.668
CA53,Burrow,Prey,0.728
CA53,Burrow,Prey,0.636
CA53,Burrow,Prey,0.394
CA53,Burrow,Prey,0.662
CA53,Burrow,Prey,0.364
CA53,Burrow,Prey,0.48
CA53,Burrow,Prey,0.64
CA53,Burrow,Prey,0.548
CA53,Burrow,Prey,0.518
CA53,Burrow,Prey,0.328
CA53,Burrow,Prey,0.396
CA53,Burrow,Prey,0.226
CA53,Burrow,Prey,0.286
CA53,Burrow,Prey,0.628
CA53,Burrow,Prey,0.43
CA53,Burrow,Prey,0.386
CA53,Burrow,Prey,0.728
CA54,Burrow,Prey,0.468
CA54,Burrow,Prey,0.518
CA54,Burrow,Prey,0.542
CA54,Burrow,Prey,0.512
CA54,Burrow,Prey,0.34
CA54,Burrow,Prey,0.338
CA54,Burrow,Prey,0.252
CA54,Burrow,Prey,0.66
CA54,Burrow,Prey,0.496
CA54,Burrow,Prey,0.534
CA54,Burrow,Prey,0.484
CA54,Burrow,Prey,0.526
CA54,Burrow,Prey,0.654
CA54,Burrow,Prey,0.622
CA54,Burrow,Prey,0.416
CA54,Burrow,Prey,0.452
CA54,Burrow,Prey,0.546
CA54,Burrow,Prey,0.406
CA54,Burrow,Prey,0.81
CA54,Burrow,Prey,0.486
CA54,Burrow,Prey,0.392
CA54,Burrow,Prey,0.466
CA54,Burrow,Prey,0.646
CA54,Burrow,Prey,0.458
CA54,Burrow,Prey,0.452
CA54,Burrow,Prey,0.472
CA54,Burrow,Prey,0.378
CA54,Burrow,Prey,0.318
CA54,Burrow,Prey,0.484
CA55,Burrow,Prey,0.624
CA55,Burrow,Prey,0.504
CA55,Burrow,Prey,0.416
CA55,Burrow,Prey,0.59
CA55,Burrow,Prey,0.696
CA55,Burrow,Prey,0.492
CA55,Burrow,Prey,0.492
CA55,Burrow,Prey,0.492
CA55,Burrow,Prey,0.646
CA55,Burrow,Prey,0.538
CA55,Burrow,Prey,0.566
CA55,Burrow,Prey,0.448
CA55,Burrow,Prey,0.55
CA55,Burrow,Prey,0.442
CA55,Burrow,Prey,0.442
CA55,Burrow,Prey,0.452
CA56,Burrow,Prey,0.236
CA56,Burrow,Prey,0.144
CA56,Burrow,Prey,0.06
CA56,Burrow,Prey,0.274
CA56,Burrow,Prey,0.634
CA56,Burrow,Prey,0.474
CA56,Burrow,Prey,0.546
CA56,Burrow,Prey,0.676
CA56,Burrow,Prey,0.676
CA56,Burrow,Prey,0.364
CA56,Burrow,Prey,0.658
CA56,Burrow,Prey,0.486
CA56,Burrow,Prey,0.584
CA56,Burrow,Prey,0.584
CA56,Burrow,Prey,0.648
CA56,Burrow,Prey,0.604
CA56,Burrow,Prey,0.666
CA56,Burrow,Prey,0.61
