Camera_Number,Date,Time2,Scientific_name,type
M4,7/16/2020,10:39:00,Ammospermophilus interpres,rodent
M4,6/4/2021,10:06:00,Ammospermophilus interpres,rodent
M8,4/12/2021,11:58:00,Ammospermophilus interpres,rodent
M9,5/15/2021,12:32:00,Ammospermophilus interpres,rodent
M12,8/23/2020,9:49:00,Ammospermophilus interpres,rodent
M14,9/15/2021,9:09:00,Ammospermophilus interpres,rodent
M17,5/9/2021,16:11:00,Ammospermophilus interpres,rodent
M17,6/6/2021,15:54:00,Ammospermophilus interpres,rodent
M17,6/6/2021,15:56:00,Ammospermophilus interpres,rodent
M17,6/6/2021,15:58:00,Ammospermophilus interpres,rodent
M17,6/6/2021,15:58:00,Ammospermophilus interpres,rodent
M17,6/14/2021,8:30:00,Ammospermophilus interpres,rodent
M17,6/20/2021,8:58:00,Ammospermophilus interpres,rodent
M17,7/3/2021,15:02:00,Ammospermophilus interpres,rodent
M17,7/3/2021,15:03:00,Ammospermophilus interpres,rodent
M17,7/3/2021,15:04:00,Ammospermophilus interpres,rodent
M17,7/5/2021,14:53:00,Ammospermophilus interpres,rodent
M17,7/6/2021,15:11:00,Ammospermophilus interpres,rodent
M17,7/6/2021,15:12:00,Ammospermophilus interpres,rodent
M17,7/8/2021,17:00:00,Ammospermophilus interpres,rodent
M17,7/22/2021,16:58:00,Ammospermophilus interpres,rodent
M17,8/17/2021,14:56:00,Ammospermophilus interpres,rodent
M17,9/3/2021,18:36:00,Ammospermophilus interpres,rodent
M18,7/17/2020,8:24:00,Ammospermophilus interpres,rodent
M18,9/29/2020,15:36:00,Ammospermophilus interpres,rodent
M18,6/29/2021,10:00:00,Ammospermophilus interpres,rodent
M19,7/8/2021,12:15:00,Ammospermophilus interpres,rodent
M19,8/7/2021,9:50:00,Ammospermophilus interpres,rodent
M19,8/20/2021,18:28:00,Ammospermophilus interpres,rodent
M20,7/18/2020,7:44:00,Ammospermophilus interpres,rodent
M20,7/19/2020,7:10:00,Ammospermophilus interpres,rodent
M20,7/20/2020,7:35:00,Ammospermophilus interpres,rodent
M20,7/21/2020,12:30:00,Ammospermophilus interpres,rodent
M20,7/22/2020,7:29:00,Ammospermophilus interpres,rodent
M20,5/30/2021,9:54:00,Ammospermophilus interpres,rodent
M20,6/3/2021,10:22:00,Ammospermophilus interpres,rodent
M20,6/27/2021,17:52:00,Ammospermophilus interpres,rodent
M20,8/14/2021,13:20:00,Ammospermophilus interpres,rodent
M20,8/18/2021,8:26:00,Ammospermophilus interpres,rodent
M23,7/23/2020,19:00:00,Ammospermophilus interpres,rodent
M23,7/24/2020,16:11:00,Ammospermophilus interpres,rodent
M23,7/25/2020,19:08:00,Ammospermophilus interpres,rodent
M23,10/16/2020,17:23:00,Ammospermophilus interpres,rodent
M23,8/18/2020,12:32:00,Ammospermophilus interpres,rodent
M24,7/11/2020,18:02:00,Ammospermophilus interpres,rodent
M24,7/13/2020,9:15:00,Ammospermophilus interpres,rodent
M24,7/13/2020,10:14:00,Ammospermophilus interpres,rodent
M24,7/15/2020,10:22:00,Ammospermophilus interpres,rodent
M24,7/19/2020,15:37:00,Ammospermophilus interpres,rodent
M24,7/21/2020,10:26:00,Ammospermophilus interpres,rodent
M24,8/7/2020,12:33:00,Ammospermophilus interpres,rodent
M24,8/7/2020,12:37:00,Ammospermophilus interpres,rodent
M24,10/30/2020,14:29:00,Ammospermophilus interpres,rodent
M24,10/30/2020,14:29:00,Ammospermophilus interpres,rodent
M24,4/3/2021,12:04:00,Ammospermophilus interpres,rodent
M24,4/15/2021,12:40:00,Ammospermophilus interpres,rodent
M24,7/2/2021,8:44:00,Ammospermophilus interpres,rodent
M24,8/1/2021,10:10:00,Ammospermophilus interpres,rodent
M25,8/7/2020,12:43:00,Ammospermophilus interpres,rodent
M26,9/6/2020,1:57:00,Ammospermophilus interpres,rodent
M26,9/23/2020,11:12:00,Ammospermophilus interpres,rodent
M27,8/13/2020,19:15:00,Ammospermophilus interpres,rodent
M27,9/6/2020,10:06:00,Ammospermophilus interpres,rodent
M27,9/7/2020,21:42:00,Ammospermophilus interpres,rodent
M27,9/8/2020,9:10:00,Ammospermophilus interpres,rodent
