"","ID","TimeS","Month","Usable","Rock_per","DNR","Soil_per","Soil_type","Vegetation_per","Vegetation_height","DNV","DNV_height","Concealment","Set","LocationN","LocationE","N","Y"
"64","CA52",15,"May","",100,0,0,"Gravel_allu",0,0,0.7,0.5,"Over_50","Test",30.73326,104.99224,0.624,0.376
"65","CA53",18,"May","",100,0,0,"Gravel_allu",0,0,0.5,0.6,"Over_50","Test",30.78014,104.98585,0.556,0.444
"66","CA54",11,"Oct","",40,0,60,"Gravel_allu",0,0,0.75,0.4,"Less_50","Test",30.77256,105.02015,0.774,0.226
"67","CA57",20,"Jul","",20,0,80,"Gravel_allu",0,0,0.6,0.2,"0","Test",30.76977,105.02154,0.626,0.374
"68","CA60",12,"Oct","",50,0,50,"Gravel_allu",0,0,0.75,0.3,"Over_50","Test",30.71345,104.97089,0.78,0.22
"69","CA61",12,"May","",100,0,0,"Gravel_allu",0,0,0.7,0.5,"Over_50","Test",30.73058,104.99021,0.554,0.446
"70","CA62",7,"May","",90,0,10,"Gravel_allu",0,0,1,1,"Over_50","Test",30.73272,104.98869,0.65,0.35
"71","CA62",11,"Sep","",90,0,10,"Gravel_allu",0,0,0.6,0.3,"Over_50","Test",30.73256,104.98865,0.728,0.272
"72","CA62",18,"May","",90,0,10,"Gravel_allu",0,0,1,1,"Over_50","Test",30.73275,104.98868,0.574,0.426
"73","CA62",18,"May","",90,0,10,"Gravel_allu",0,0,1,1,"Over_50","Test",30.73275,104.9887,0.574,0.426
"74","CA63",10,"Jul","",100,0,0,"Gravel_allu",0,0,0.6,0.5,"Over_50","Test",30.77313,105.0134,0.492,0.508
"75","CA63",21,"May","",30,0,70,"Gravel_allu",0,0,1,0.2,"0","Test",30.77431,105.01296,0.828,0.172
"76","CA64",8,"Apr","",90,0,10,"Gravel_allu",0,0,0.5,0.3,"Over_50","Test",30.73586,104.97804,0.442,0.558
"77","CA64",11,"Oct","",100,0,0,"Gravel_allu",0,0,0.6,0.3,"Over_50","Test",30.73608,104.97803,0.81,0.19
"78","CA64",16,"Sep","",100,0,0,"Gravel_allu",0,0,0.7,1,"Over_50","Test",30.72906,104.98164,0.762,0.238
"79","CA65",11,"Apr","",100,0,0,"Gravel_allu",0,0,0.7,0.7,"Over_50","Test",30.74438,105.01018,0.46,0.54
"80","CA65",16,"Apr","",40,0,60,"Gravel_allu",0,0,0.5,0.4,"Over_50","Test",30.74517,105.00977,0.338,0.662
"81","CA65",17,"Apr","",100,0,0,"Gravel_allu",0,0,0.7,0.7,"Over_50","Test",30.74437,105.01012,0.42,0.58
"82","CA66",10,"Apr","",100,0,0,"Gravel_allu",0,0,0.7,0.4,"Over_50","Test",30.73117,104.98763,0.584,0.416
"83","CA66",16,"Apr","",100,0,0,"Gravel_allu",0,0,0.6,0.4,"Over_50","Test",30.7306,104.98759,0.412,0.588
"84","CA66",18,"Aug","",100,0,0,"Gravel_allu",0,0,0.5,0.6,"Over_50","Test",30.72761,104.98422,0.508,0.492
"85","CA67",17,"Jun","",100,0,0,"Gravel_allu",0,0,1,0.4,"Over_50","Test",30.78715,104.98792,0.372,0.628
"86","CA67",22,"Aug","",30,0,70,"Gravel_allu",0,0,0.6,0.5,"0","Test",30.78679,104.98804,0.738,0.262
"87","CA68",15,"Apr","",50,0,50,"Gravel_allu",0,0,0.7,0.3,"Over_50","Test",30.73894,104.98573,0.33,0.67
"88","CA69",19,"Sep","",100,0,0,"Gravel_allu",0,0,0.7,0.3,"Over_50","Test",30.77419,105.01284,0.666,0.334
"89","CA70",8,"May","",40,0,60,"Gravel_allu",0,0,0.6,0.2,"0","Test",30.77322,105.01662,0.628,0.372
"90","CA70",12,"Apr","",100,0,0,"Gravel_allu",0,0,0.7,0.4,"Over_50","Test",30.77177,105.01511,0.406,0.594
"91","CA70",15,"Apr","",100,0,0,"Gravel_allu",0,0,0.7,0.3,"Over_50","Test",30.77094,105.01578,0.382,0.618
"92","CA70",21,"Jul","",100,0,0,"Gravel_allu",0,0,3.5,1.5,"0","Test",30.77162,105.01714,0.602,0.398
"93","CA72",14,"Apr","",80,0,20,"Gravel_allu",0,0,0.6,0.3,"Over_50","Test",30.72854,104.9893,0.428,0.572
"94","CA72",17,"Apr","",80,0,20,"Gravel_allu",0,0,0.6,0.3,"Over_50","Test",30.72851,104.9893,0.45,0.55
"95","CA72",20,"Aug","",100,0,0,"Gravel_allu",0,0,0.5,0.3,"Over_50","Test",30.73315,104.98915,0.588,0.412
"96","CA73",8,"Jul","",100,0,0,"Gravel_allu",0,0,0.5,0.6,"Over_50","Test",30.73159,104.98477,0.614,0.386
"97","CA73",19,"Jul","",40,0,60,"Gravel_allu",0,0,0.6,0.5,"Over_50","Test",30.73184,104.98475,0.606,0.394
"98","CA74",11,"May","",100,0,0,"Gravel_allu",0,0,0.8,0.4,"Over_50","Test",30.73582,105.0034,0.606,0.394
"99","CA74",11,"Apr","",100,0,0,"Gravel_allu",0,0,0.7,1,"Less_50","Test",30.73599,105.00376,0.466,0.534
"100","CA76",11,"May","",100,0,0,"Gravel_allu",0,0,0.6,0.6,"Over_50","Test",30.78712,105.98831,0.608,0.392
"101","CA76",12,"Apr","",100,0,0,"Gravel_allu",0,0,0.8,0.3,"Over_50","Test",30.74439,105.01237,0.402,0.598
"102","CA66",20,"Jun","",0,0.5,100,"Gravel_allu",0,0,0.6,0.3,"0","Test",30.73028,104.98376,0.432,0.568
"103","CA57",18,"Aug","",0,0.6,100,"Gravel_allu",0,0,0.7,0.4,"0","Test",30.77667,105.03175,0.562,0.438
"104","CA65",19,"Aug","",0,0.6,100,"Gravel_allu",0,0,0.6,0.3,"0","Test",30.74453,105.00751,0.59,0.41
"105","CA66",21,"Jun","",0,0.6,100,"Gravel_allu",0,0,1,0.3,"0","Test",30.73008,104.98395,0.506,0.494
"106","CA54",20,"Jul","",0,0.7,100,"Gravel_allu",0,0,0.6,1,"0","Test",30.77374,105.02415,0.546,0.454
"107","CA68",9,"Jun","",0,1,100,"Gravel_allu",0,0,1.5,0.8,"0","Test",30.73647,104.98302,0.494,0.506
"108","CA68",18,"Aug","",0,1,100,"Gravel_allu",0,0,0.7,0.3,"0","Test",30.73699,104.98708,0.562,0.438
"109","CA68",8,"Apr","",0,1.2,100,"Gravel_allu",0,0,0.8,1,"0","Test",30.73767,104.98401,0.574,0.426
