Camera_Number,Date,Time2,Scientific_name,type
M8,4/1/2021,1:06:00,Lepus californicus,other
M8,4/1/2021,1:16:00,Lepus californicus,other
M12,4/1/2021,5:57:00,Lepus californicus,other
M11,4/1/2021,17:57:00,Sialis currucoides,prey
M16,4/2/2021,0:46:00,Lepus californicus,other
M20,4/2/2021,6:20:00,Lepus californicus,other
M29,4/2/2021,4:04:00,Bassariscus astutus,predator
M12,4/2/2021,2:57:00,Taxidea taxus,predator
M11,4/2/2021,13:06:00,Pyrocephalus rubinus,prey
M11,4/2/2021,13:02:00,Spizella breweri,prey
M12,4/3/2021,5:39:00,Lepus californicus,other
M14,4/3/2021,3:31:00,Lepus californicus,other
M24,4/3/2021,12:04:00,Ammospermophilus interpres,prey
M12,4/4/2021,5:05:00,Lepus californicus,other
M7,4/4/2021,6:08:00,Sylvilagus audubonii,other
M7,4/4/2021,2:19:00,Chaetodipus intermedius,prey
M3,4/5/2021,19:24:00,Lepus californicus,other
M4,4/5/2021,18:00:00,Lepus californicus,other
M5,4/5/2021,18:51:00,Lepus californicus,other
M8,4/5/2021,22:19:00,Lepus californicus,other
M12,4/5/2021,4:33:00,Lepus californicus,other
M12,4/5/2021,4:34:00,Lepus californicus,other
M1,4/5/2021,17:23:00,Sylvilagus audubonii,other
M1,4/5/2021,17:51:00,Sylvilagus audubonii,other
M3,4/5/2021,19:24:00,Sylvilagus audubonii,other
M7,4/5/2021,23:42:00,Chaetodipus intermedius,prey
M12,4/6/2021,0:09:00,Lepus californicus,other
M12,4/6/2021,0:37:00,Lepus californicus,other
M12,4/6/2021,5:20:00,Lepus californicus,other
M12,4/6/2021,5:40:00,Lepus californicus,other
M12,4/6/2021,22:03:00,Lepus californicus,other
M12,4/6/2021,5:43:00,Lepus californicus,other
M12,4/6/2021,1:38:00,Lepus californicus,other
M4,4/6/2021,6:16:00,Sylvilagus audubonii,other
M4,4/6/2021,17:38:00,Toxostoma crissale,other
M3,4/6/2021,0:11:00,Taxidea taxus,predator
M3,4/6/2021,1:58:00,Taxidea taxus,predator
M3,4/6/2021,0:12:00,Taxidea taxus,predator
M7,4/6/2021,4:16:00,Chaetodipus intermedius,prey
M7,4/6/2021,4:34:00,Chaetodipus intermedius,prey
M7,4/6/2021,4:48:00,Chaetodipus intermedius,prey
M7,4/6/2021,4:49:00,Chaetodipus intermedius,prey
M7,4/6/2021,5:11:00,Chaetodipus intermedius,prey
M3,4/6/2021,3:56:00,Dipodomys merriami,prey
M7,4/6/2021,2:52:00,Dipodomys merriami,prey
CA56,4/6/2021,15:13:00,Crotalus atrox,
M15,4/7/2021,9:04:00,Bird sp.,other
M8,4/7/2021,2:31:00,Lepus californicus,other
M12,4/7/2021,2:13:00,Lepus californicus,other
M12,4/7/2021,5:33:00,Lepus californicus,other
M12,4/7/2021,5:35:00,Lepus californicus,other
M12,4/7/2021,5:38:00,Lepus californicus,other
M15,4/7/2021,0:48:00,Lepus californicus,other
M15,4/7/2021,2:14:00,Lepus californicus,other
M15,4/7/2021,2:35:00,Lepus californicus,other
M15,4/7/2021,2:36:00,Lepus californicus,other
