Camera_Number,Date,Time2,Scientific_name,type
CA52,6/5/2020,23:24:00,Crotalus atrox,
CA52,6/12/2020,23:45:00,Crotalus atrox,
CA52,6/19/2020,23:04:00,Crotalus atrox,
M13,6/20/2020,4:33:00,Lepus californicus,other
M8,6/20/2020,18:33:00,Sylvilagus audubonii,other
M15,6/20/2020,8:21:00,Sylvilagus audubonii,other
M15,6/20/2020,8:43:00,Sylvilagus audubonii,other
M8,6/20/2020,18:21:00,Callipepla squamata,prey
M12,6/21/2020,5:35:00,Lepus californicus,other
M8,6/21/2020,19:45:00,Sylvilagus audubonii,other
M13,6/21/2020,8:09:00,Callipepla squamata,prey
M11,6/21/2020,6:54:00,Mimus polyglottos,prey
M13,6/21/2020,7:54:00,Mimus polyglottos,prey
M15,6/22/2020,19:59:00,Sylvilagus audubonii,other
M15,6/22/2020,20:11:00,Sylvilagus audubonii,other
M15,6/22/2020,8:37:00,Sylvilagus audubonii,other
M8,6/22/2020,6:30:00,Amphispiza bilineata,prey
M15,6/22/2020,6:50:00,Callipepla squamata,prey
M12,6/22/2020,0:38:00,Dipodomys merriami,prey
M12,6/22/2020,0:39:00,Dipodomys merriami,prey
M12,6/22/2020,0:36:00,Dipodomys merriami,prey
M12,6/22/2020,0:37:00,Dipodomys merriami,prey
M11,6/23/2020,0:00:00,Lepus californicus,other
M15,6/23/2020,8:45:00,Sylvilagus audubonii,other
M3,6/23/2020,17:51:00,Callipepla squamata,prey
M15,6/23/2020,7:01:00,Callipepla squamata,prey
M12,6/23/2020,3:10:00,Dipodomys merriami,prey
M3,6/24/2020,18:09:00,Sylvilagus audubonii,other
M3,6/24/2020,17:46:00,Sylvilagus audubonii,other
M3,6/24/2020,17:47:00,Sylvilagus audubonii,other
M6,6/24/2020,7:51:00,Sylvilagus audubonii,other
M15,6/24/2020,17:35:00,Sylvilagus audubonii,other
M3,6/24/2020,6:42:00,Pecari tajacu,predator
M3,6/24/2020,6:44:00,Pecari tajacu,predator
M3,6/24/2020,6:45:00,Pecari tajacu,predator
M6,6/24/2020,5:52:00,Pecari tajacu,predator
M6,6/24/2020,5:53:00,Pecari tajacu,predator
M6,6/24/2020,6:22:00,Pecari tajacu,predator
M6,6/24/2020,6:28:00,Pecari tajacu,predator
M6,6/24/2020,6:28:00,Pecari tajacu,predator
M6,6/24/2020,6:31:00,Pecari tajacu,predator
M6,6/24/2020,6:45:00,Pecari tajacu,predator
M6,6/24/2020,16:49:00,Pecari tajacu,predator
M6,6/24/2020,17:23:00,Pecari tajacu,predator
M6,6/24/2020,17:27:00,Pecari tajacu,predator
M6,6/24/2020,17:30:00,Pecari tajacu,predator
M6,6/24/2020,17:30:00,Pecari tajacu,predator
M6,6/24/2020,5:54:00,Pecari tajacu,predator
M6,6/24/2020,5:56:00,Pecari tajacu,predator
M6,6/24/2020,6:05:00,Pecari tajacu,predator
M6,6/24/2020,6:06:00,Pecari tajacu,predator
M6,6/24/2020,6:19:00,Pecari tajacu,predator
M6,6/24/2020,6:19:00,Pecari tajacu,predator
M6,6/24/2020,6:27:00,Pecari tajacu,predator
M6,6/24/2020,6:32:00,Pecari tajacu,predator
M6,6/24/2020,17:28:00,Pecari tajacu,predator
M6,6/24/2020,17:35:00,Pecari tajacu,predator
M6,6/24/2020,5:55:00,Pecari tajacu,predator
M6,6/24/2020,5:55:00,Pecari tajacu,predator
M3,6/24/2020,8:11:00,Callipepla squamata,prey
M3,6/24/2020,17:17:00,Callipepla squamata,prey
M15,6/24/2020,10:26:00,Callipepla squamata,prey
M12,6/24/2020,15:57:00,Crotaphytus collaris,prey
M3,6/24/2020,14:04:00,Mimus polyglottos,prey
M12,6/24/2020,13:42:00,Zenaida macroura,prey
M8,6/25/2020,23:27:00,Equus caballus,other
M8,6/25/2020,23:38:00,Equus caballus,other
M8,6/25/2020,23:39:00,Equus caballus,other
M8,6/25/2020,23:40:00,Equus caballus,other
M10,6/25/2020,22:18:00,Equus caballus,other
M12,6/25/2020,23:26:00,Equus caballus,other
M8,6/25/2020,22:54:00,Lepus californicus,other
M14,6/25/2020,2:41:00,Lepus californicus,other
M3,6/25/2020,7:59:00,Sylvilagus audubonii,other
M3,6/25/2020,18:03:00,Sylvilagus audubonii,other
M3,6/25/2020,18:22:00,Sylvilagus audubonii,other
M3,6/25/2020,20:04:00,Sylvilagus audubonii,other
M6,6/25/2020,18:14:00,Sylvilagus audubonii,other
M15,6/25/2020,7:54:00,Sylvilagus audubonii,other
M15,6/25/2020,7:53:00,Sylvilagus audubonii,other
M2,6/25/2020,6:03:00,Pecari tajacu,predator
M2,6/25/2020,6:18:00,Pecari tajacu,predator
M2,6/25/2020,6:19:00,Pecari tajacu,predator
M3,6/25/2020,4:04:00,Antrozoous  pallidus,prey
M8,6/25/2020,11:11:00,Aspidoscelis tesselata,prey
M2,6/25/2020,10:46:00,Callipepla squamata,prey
M12,6/25/2020,9:09:00,Callipepla squamata,prey
M14,6/25/2020,9:48:00,Callipepla squamata,prey
M10,6/25/2020,10:31:00,Cardinalis sinuatus,prey
M3,6/25/2020,4:35:00,Chaetodipus intermedius,prey
M6,6/25/2020,14:26:00,Zenaida macroura,prey
M10,6/26/2020,5:41:00,Equus caballus,other
M10,6/26/2020,5:42:00,Equus caballus,other
M12,6/26/2020,7:20:00,Equus caballus,other
M14,6/26/2020,7:05:00,Equus caballus,other
M14,6/26/2020,7:07:00,Equus caballus,other
M14,6/26/2020,7:13:00,Equus caballus,other
M14,6/26/2020,7:14:00,Equus caballus,other
M14,6/26/2020,7:39:00,Equus caballus,other
M14,6/26/2020,7:41:00,Equus caballus,other
M14,6/26/2020,7:43:00,Equus caballus,other
M14,6/26/2020,7:44:00,Equus caballus,other
M14,6/26/2020,7:45:00,Equus caballus,other
M14,6/26/2020,7:46:00,Equus caballus,other
M14,6/26/2020,7:47:00,Equus caballus,other
M14,6/26/2020,7:48:00,Equus caballus,other
M14,6/26/2020,9:32:00,Equus caballus,other
M15,6/26/2020,8:39:00,Equus caballus,other
M15,6/26/2020,23:52:00,Equus caballus,other
M15,6/26/2020,23:53:00,Equus caballus,other
M15,6/26/2020,23:54:00,Equus caballus,other
M15,6/26/2020,23:59:00,Equus caballus,other
M15,6/26/2020,8:45:00,Equus caballus,other
M14,6/26/2020,5:18:00,Odocoileus hemionus,other
M1,6/26/2020,17:42:00,Sylvilagus audubonii,other
M2,6/26/2020,18:40:00,Sylvilagus audubonii,other
M3,6/26/2020,18:39:00,Sylvilagus audubonii,other
M4,6/26/2020,18:14:00,Sylvilagus audubonii,other
M15,6/26/2020,22:25:00,Taxidea taxus,predator
CA52,6/26/2020,19:49:00,Crotalus atrox,
CA53,6/26/2020,22:23:00,Crotalus atrox,
M10,6/27/2020,3:55:00,Equus caballus,other
M10,6/27/2020,3:55:00,Equus caballus,other
M14,6/27/2020,7:38:00,Equus caballus,other
M14,6/27/2020,8:37:00,Equus caballus,other
M14,6/27/2020,8:41:00,Equus caballus,other
