Camera_Number,Date,Time2,Scientific_name,type
M11,4/1/2021,17:57:00,Sialis currucoides,bird
M11,4/2/2021,13:06:00,Pyrocephalus rubinus,bird
M11,4/2/2021,13:02:00,Spizella breweri,bird
M24,4/3/2021,12:04:00,Ammospermophilus interpres,rodent
M7,4/4/2021,2:19:00,Chaetodipus intermedius,rodent
M7,4/5/2021,23:42:00,Chaetodipus intermedius,rodent
M7,4/6/2021,4:16:00,Chaetodipus intermedius,rodent
M7,4/6/2021,4:34:00,Chaetodipus intermedius,rodent
M7,4/6/2021,4:48:00,Chaetodipus intermedius,rodent
M7,4/6/2021,4:49:00,Chaetodipus intermedius,rodent
M7,4/6/2021,5:11:00,Chaetodipus intermedius,rodent
CA56,4/6/2021,15:13:00,Crotalus atrox,
M3,4/6/2021,3:56:00,Dipodomys merriami,rodent
M7,4/6/2021,2:52:00,Dipodomys merriami,rodent
M1,4/7/2021,5:14:00,Chaetodipus intermedius,rodent
M3,4/7/2021,3:20:00,Dipodomys merriami,rodent
M15,4/7/2021,1:12:00,Dipodomys merriami,rodent
M15,4/7/2021,1:56:00,Dipodomys merriami,rodent
M15,4/7/2021,4:34:00,Dipodomys merriami,rodent
M15,4/7/2021,4:55:00,Dipodomys merriami,rodent
M15,4/7/2021,5:25:00,Dipodomys merriami,rodent
M17,4/8/2021,11:29:00,Aspidoscelis sp.,lizard
M7,4/8/2021,2:03:00,Dipodomys merriami,rodent
M7,4/8/2021,2:06:00,Dipodomys merriami,rodent
M7,4/8/2021,2:11:00,Dipodomys merriami,rodent
M7,4/8/2021,2:13:00,Dipodomys merriami,rodent
M7,4/8/2021,2:15:00,Dipodomys merriami,rodent
M7,4/8/2021,4:49:00,Dipodomys merriami,rodent
M7,4/8/2021,22:56:00,Dipodomys merriami,rodent
M8,4/8/2021,0:09:00,Dipodomys merriami,rodent
M3,4/8/2021,14:18:00,Zenaida macroura,bird
M7,4/9/2021,3:07:00,Chaetodipus intermedius,rodent
M9,4/9/2021,23:11:00,Chaetodipus intermedius,rodent
M19,4/9/2021,9:07:00,Chaetodipus intermedius,rodent
M7,4/9/2021,3:28:00,Dipodomys merriami,rodent
M7,4/9/2021,3:29:00,Dipodomys merriami,rodent
M12,4/9/2021,22:42:00,Dipodomys merriami,rodent
M15,4/9/2021,20:08:00,Dipodomys merriami,rodent
